Date Clutch Born,date_scheduled_to_counted,Date Clutch Counted,Temperature (°C),Replicate,Clutch Number,Days Since Birth,Number of Babies,Notes
,,,10,1,1,0,,
,,,10,1,2,0,,
,,,10,1,3,0,,
04-03-2017,04-06-2017,04-06-2017,10,2,1,3,7,
04-11-2017,04-14-2017,04-14-2017,10,2,2,3,12,
,,,10,2,3,0,,
,,,10,3,1,0,,
,,,10,3,2,0,,
,,,10,3,3,0,,
03-25-2017,03-28-2017,03-28-2017,10,4,1,3,5,
04-01-2017,04-04-2017,04-04-2017,10,4,2,3,3,
04-08-2017,04-11-2017,04-11-2017,10,4,3,3,,
04-01-2017,04-04-2017,04-04-2017,10,5,1,3,11,
04-08-2017,04-11-2017,04-11-2017,10,5,2,3,,
,,,10,5,3,0,,
03-27-2017,03-30-2017,03-30-2017,10,6,1,3,2,
,,,10,6,2,0,,
,,,10,6,3,0,,
04-03-2017,04-06-2017,04-06-2017,10,7,1,3,3,
04-12-2017,04-15-2017,,10,7,2,09-17-1782,,
,,,10,7,3,0,,
03-27-2017,03-30-2017,03-30-2017,10,8,1,3,2,
04-03-2017,04-06-2017,04-06-2017,10,8,2,3,10,
04-10-2017,04-13-2017,04-13-2017,10,8,3,3,17,
03-20-2017,03-23-2017,03-23-2017,16,1,1,3,4,
03-23-2017,03-26-2017,03-27-2017,16,1,2,4,7,
03-27-2017,03-30-2017,03-30-2017,16,1,3,3,12,
03-21-2017,03-24-2017,03-24-2017,16,2,1,3,7,
03-25-2017,03-28-2017,03-28-2017,16,2,2,3,12,
03-29-2017,04-01-2017,04-01-2017,16,2,3,3,5,
03-10-2017,03-13-2017,03-13-2017,16,3,1,3,9,
03-13-2017,03-16-2017,03-16-2017,16,3,2,3,13,
03-17-2017,03-20-2017,03-20-2017,16,3,3,3,15,
03-10-2017,03-13-2017,03-13-2017,16,4,1,3,6,
03-14-2017,03-17-2017,03-17-2017,16,4,2,3,8,
03-18-2017,03-21-2017,03-21-2017,16,4,3,3,6,
03-10-2017,03-13-2017,03-13-2017,16,5,1,3,4,
03-13-2017,03-16-2017,03-16-2017,16,5,2,3,7,
03-14-2017,03-17-2017,03-17-2017,16,5,3,3,7,
03-10-2017,03-13-2017,03-13-2017,16,6,1,3,6,
03-14-2017,03-17-2017,03-17-2017,16,6,2,3,7,
03-18-2017,03-21-2017,03-21-2017,16,6,3,3,7,
03-11-2017,03-14-2017,03-14-2017,16,7,1,3,3,
03-14-2017,03-17-2017,03-17-2017,16,7,2,3,5,
03-23-2017,03-26-2017,03-27-2017,16,7,3,4,6,
03-10-2017,03-13-2017,03-13-2017,16,8,1,3,6,
03-28-2017,03-31-2017,03-31-2017,16,8,2,3,2,
,,,16,8,3,0,,
03-08-2017,03-11-2017,03-11-2017,20,1,1,3,7,
03-09-2017,03-12-2017,,20,1,2,-42803,,
03-12-2017,03-15-2017,03-15-2017,20,1,3,3,5,
