date_clutch_born,date_scheduled_to_count,date_clutch_counted,temperature,replicate,clutch_number,days_since_birth,number_of_babies,number_of_babies_average,Notes
03-10-2017,03-13-2017,,20,2,2,-42804,,,
,,,20,2,3,0,,,Mom died and could not be replaced. No data
03-08-2017,03-11-2017,,20,3,1,-42802,,13,
03-11-2017,03-14-2017,03-14-2017,20,3,2,3,13,13,
03-14-2017,03-17-2017,03-17-2017,20,3,3,3,13,13,
03-08-2017,03-11-2017,03-11-2017,20,4,1,3,13,13,
03-10-2017,03-13-2017,03-13-2017,20,4,2,3,7,7,
03-13-2017,03-16-2017,03-16-2017,20,4,3,3,14,14,
03-08-2017,03-11-2017,,20,5,1,-42802,,4,
03-11-2017,03-14-2017,03-14-2017,20,5,2,3,4,4,
03-17-2017,03-20-2017,03-20-2017,20,5,3,3,4,4,
03-15-2017,03-18-2017,03-18-2017,20,6,1,3,2,2,
03-18-2017,03-21-2017,03-21-2017,20,6,2,3,3,3,
03-24-2017,03-27-2017,03-27-2017,20,6,3,3,2,2,
03-08-2017,03-11-2017,,20,7,1,-42802,,3,Mom has ephippium
03-13-2017,03-16-2017,03-16-2017,20,7,2,3,3,3,
03-27-2017,03-30-2017,03-30-2017,20,7,3,3,3,3,
03-11-2017,03-14-2017,03-14-2017,20,8,1,3,4,4,
03-14-2017,03-17-2017,03-17-2017,20,8,2,3,4,4,
,,,20,8,3,0,,4,Mom died and could not be replaced. No data
03-05-2017,03-08-2017,03-08-2017,24,1,1,3,7,7,
03-08-2017,03-11-2017,,24,1,2,-42802,,9.5,
03-09-2017,03-12-2017,03-12-2017,24,1,3,3,12,12,
03-05-2017,03-08-2017,03-08-2017,24,2,1,3,6,6,
03-08-2017,03-11-2017,03-11-2017,24,2,2,3,11,11,
03-10-2017,03-13-2017,03-13-2017,24,2,3,3,8,8,
03-05-2017,03-08-2017,03-08-2017,24,3,1,3,3,3,
03-08-2017,03-11-2017,,24,3,2,-42802,,2.5,
03-15-2017,03-18-2017,03-18-2017,24,3,3,3,2,2,
03-05-2017,03-08-2017,03-08-2017,24,4,1,3,6,6,
03-08-2017,03-11-2017,,24,4,2,-42802,,10,
03-10-2017,03-13-2017,03-13-2017,24,4,3,3,14,14,
03-05-2017,03-08-2017,03-08-2017,24,5,1,3,9,9,
03-08-2017,03-11-2017,,24,5,2,-42802,,12,
03-10-2017,03-13-2017,03-13-2017,24,5,3,3,15,15,
03-05-2017,03-08-2017,03-08-2017,24,6,1,3,5,5,
03-08-2017,03-11-2017,03-11-2017,24,6,2,3,12,12,
03-10-2017,03-13-2017,03-13-2017,24,6,3,3,11,11,
,,,24,7,1,0,,5.5,
03-10-2017,03-13-2017,03-13-2017,24,7,2,3,5,5,
03-12-2017,03-15-2017,03-15-2017,24,7,3,3,6,6,
03-21-2017,03-24-2017,03-24-2017,24,8,1,3,2,2,
03-25-2017,03-28-2017,03-28-2017,24,8,2,3,3,3,
03-29-2017,04-01-2017,04-01-2017,24,8,3,3,4,4,
03-05-2017,03-08-2017,03-08-2017,27,1,1,3,3,3,
03-07-2017,03-10-2017,,27,1,2,-42801,,6,
03-08-2017,03-11-2017,03-11-2017,27,1,3,3,9,9,
03-05-2017,03-08-2017,03-08-2017,27,2,1,3,14,14,
03-08-2017,03-11-2017,,27,2,2,-42802,,11.5,
03-10-2017,03-13-2017,03-13-2017,27,2,3,3,9,9,
03-05-2017,03-08-2017,03-08-2017,27,3,1,3,15,15,
03-07-2017,03-10-2017,03-10-2017,27,3,2,3,10,10,
03-09-2017,03-12-2017,03-12-2017,27,3,3,3,9,9,
03-09-2017,03-12-2017,,27,4,1,10-21-1782,,,Clutches 1 and 2 were combined and I couldn't tell the difference between babies to get counts for clutch 2
03-11-2017,03-14-2017,,27,4,2,10-19-1782,,,
03-13-2017,03-16-2017,03-16-2017,27,4,3,3,6,6,
03-05-2017,03-08-2017,03-08-2017,27,5,1,3,8,8,
03-07-2017,03-10-2017,,27,5,2,-42801,,8.5,
03-08-2017,03-11-2017,03-11-2017,27,5,3,3,9,9,
03-05-2017,03-08-2017,03-08-2017,27,6,1,3,8,8,
03-07-2017,03-10-2017,03-10-2017,27,6,2,3,9,9,
03-09-2017,03-12-2017,03-12-2017,27,6,3,3,11,11,
03-05-2017,03-08-2017,03-08-2017,27,7,1,3,11,11,
03-07-2017,03-10-2017,03-10-2017,27,7,2,3,9,9,
03-09-2017,03-12-2017,03-12-2017,27,7,3,3,10,10,
03-05-2017,03-08-2017,03-08-2017,27,8,1,3,15,15,
03-07-2017,03-10-2017,03-10-2017,27,8,2,3,13,13,
03-09-2017,03-12-2017,03-12-2017,27,8,3,3,11,11,
